Feature,Model Args,Test Acc
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 5,0.5405405253171921
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 1 --beta 10,0.5405405223369598
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 1 --beta 20,0.5567567378282547
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 1 --beta 5,0.5486486315727234
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 10,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 20,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 5,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 1 --alpha 10,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 1 --alpha 20,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 1 --alpha 5,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 10,0.583783757686615
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 20,0.5864864647388458
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 5,0.5864864587783813
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 1 --beta 10,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 1 --beta 20,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 1 --beta 5,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 10,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 20,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 5,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 1 --alpha 10,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 1 --alpha 20,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 1 --alpha 5,0.5891891658306122
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 10,0.30092104971408845
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 20,0.2986842066049576
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 5,0.3024342119693756
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 1 --beta 10,0.30092104971408845
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 1 --beta 20,0.2983552604913712
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 1 --beta 5,0.3006578922271729
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.3040131568908692
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.25960526019334795
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.3005263090133667
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 1 --alpha 10,0.29519736766815186
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 1 --alpha 20,0.2587499961256981
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 1 --alpha 5,0.30519736707210543
film-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 10,0.2972368448972702
film-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 20,0.29578947126865385
film-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 5,0.29815789461135866
film-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 1 --beta 10,0.2990131586790085
film-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 1 --beta 20,0.2961184203624725
