Feature,Model Args,Test Acc
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 5,0.31777127385139464
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 10,0.32824196219444274
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 20,0.3176752179861069
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 5,0.3398654043674469
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 10,0.2901055783033371
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 20,0.29145043194293974
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 5,0.29903929233551024
texas-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 10,0.570270249247551
texas-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 20,0.570270249247551
texas-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 5,0.5675675481557846
texas-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 10,0.5567567259073257
texas-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 20,0.5513513296842575
texas-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 5,0.5594594299793243
texas-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 10,0.5810810655355454
texas-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 20,0.5810810655355454
texas-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 5,0.5810810595750808
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 10,0.5666666597127914
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 20,0.5352941066026687
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 5,0.5803921550512314
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 10,0.5274509727954865
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 20,0.5117647081613541
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 5,0.5431372612714768
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 10,0.5666666775941849
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 20,0.5568627536296844
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 5,0.5862745046615601
