numClass,h,Feature,Graph Name,Model Args,Train Epoch,Test Acc,Val Acc,Train Acc,Train Loss,Validation Loss,Early Stopping,Graph ID,Split Config,Experiment ID,Clustering Coefficient
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 40",248,0.552631676197052,0.5857341885566711,0.6254575848579407,1.1422725915908813,1.270420789718628,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,ec0bc8f2636d31898aa395f64bcfe947,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 200",425,0.5855264067649841,0.5843624472618103,0.6794866919517517,1.0341761112213135,1.2512327432632446,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,cbb9da64112ed47bc5ca25fb1d98959a,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 100",383,0.6052632927894592,0.5994515419006348,0.6721607446670532,1.038607120513916,1.2478750944137573,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,1e8684ee4916f9abd3d4707308037417,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 40",260,0.5263158679008484,0.530864417552948,0.6355308294296265,1.1082851886749268,1.2675217390060425,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,6bbd71f0c0bdcc29e4cf9a7f2afc4acc,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 200",466,0.565789520740509,0.5857341289520264,0.6630032658576965,1.0351507663726807,1.239705204963684,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,d7716e2e513061ef8cf5ab9c0479d4be,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 100",341,0.5592105984687805,0.5500687956809998,0.670329213142395,1.0776058435440063,1.2526054382324219,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,acb93a94852cc000f582ffa911653534,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 40",240,0.5723685026168823,0.572016716003418,0.6410252451896667,1.1019372940063477,1.3353774547576904,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,8a60988cf5c85cd475cd2f15fcedc91c,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 200",378,0.5723685622215271,0.5816189050674438,0.6858969330787659,1.020190715789795,1.33107590675354,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,8698474bd1619be01e65d0bb43352779,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 100",259,0.5789474248886108,0.580247163772583,0.6639189720153809,1.0893433094024658,1.3392910957336426,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,c4449749f54926e7c0aa04824276d54b,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 40",202,0.5723685622215271,0.5637862682342529,0.6062268018722534,1.1687556505203247,1.3136987686157227,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,8ac9094ceddec2b43ec2dd482cb07990,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 200",349,0.583333432674408,0.5624145269393921,0.6190473437309265,1.0849521160125732,1.2991666793823242,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,a169cc7bc3ddb25449d58f75914fc1c1,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 100",335,0.5767545104026794,0.5651580095291138,0.6410253047943115,1.0971156358718872,1.2901769876480103,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,d82a8681dcfc09d7127c4b999a12e655,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 40",200,0.5394737720489502,0.5665297508239746,0.6410252451896667,1.1596345901489258,1.3162343502044678,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,36fc72be3aa86ebfae5fde433799b0ac,0.48135057608791076
5,0.23,chameleon-unmodified,chameleon-n2277-h0.23-c5-unmodified-0.48p__0.2p,"--model gcn --hidden1 64 --early_stopping 200",341,0.5679826140403748,0.5871058702468872,0.6785709857940674,1.0342544317245483,1.3037043809890747,True,35295195aeb1b2db27b41a523783342d,0.48p__0.2p,2569e7b2bee4aad67d780c15ed944bc7,0.48135057608791076
