,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,delta,norm_func_id,norm_layers,orders_func_id,orders,accuracy
57,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.8,0.2,1,1,2,4,0.8334939148073023
58,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.8,0.3,1,1,2,4,0.8422413793103448
59,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.8,0.4,1,1,2,4,0.8617647058823529
60,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.8,0.5,1,1,2,4,0.8686105476673429
61,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.8,0.6,1,1,2,4,0.8722616632860041
62,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.8,0.7,1,1,2,4,0.8772819472616632
63,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.8,0.8,1,1,2,4,0.8798935091277891
64,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.8,1.0,1,1,2,4,0.8814655172413792
65,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.8,0.9,1,1,2,4,0.8846348884381341
66,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,1.0,1,2,2,1,0.4709894332372719
67,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.9,1,2,2,1,0.48770413064361195
68,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.2,1,2,2,1,0.4932756964457252
69,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.4,1,2,2,1,0.4964457252641691
70,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.6,1,2,2,1,0.4970220941402498
71,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.8,1,2,2,1,0.49711815561959655
72,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.1,1,2,2,1,0.4976945244956773
73,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.0,1,2,2,1,0.4981748318924112
74,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.7,1,2,2,1,0.4982708933717578
75,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.3,1,2,2,1,0.5017291066282421
76,squirrel,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.5,1,2,2,1,0.5046109510086455
77,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.2,1,2,2,1,0.527027027027027
78,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.1,1,2,2,1,0.5378378378378379
79,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.3,1,2,2,1,0.5378378378378379
