,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
0,chameleon,0.001,0.1,40,0.0005,0.1,0.1,0.9,2,3,0.37631578947368427
1,chameleon,0.001,0.5,40,0.0005,0.1,0.1,0.9,2,3,0.37785087719298244
2,chameleon,0.001,0.9,40,0.0005,0.1,0.1,0.9,2,3,0.4285087719298245
3,chameleon,0.05,0.5,40,1e-05,0.1,0.1,0.9,2,3,0.4383771929824561
4,chameleon,0.01,0.9,40,0.0005,0.1,0.1,0.9,2,3,0.4394736842105263
5,chameleon,0.001,0.9,200,0.0005,0.1,0.1,0.9,2,3,0.43991228070175437
6,chameleon,0.05,0.9,200,0.0005,0.1,0.1,0.9,2,3,0.4414473684210526
7,chameleon,0.05,0.1,40,1e-05,0.1,0.1,0.9,2,3,0.4425438596491228
8,chameleon,0.05,0.9,40,0.0005,0.1,0.1,0.9,2,3,0.4432017543859649
9,chameleon,0.05,0.5,200,1e-05,0.1,0.1,0.9,2,3,0.44451754385964914
10,chameleon,0.05,0.1,200,1e-05,0.1,0.1,0.9,2,3,0.44539473684210523
11,chameleon,0.001,0.1,200,0.0005,0.1,0.1,0.9,2,3,0.4480263157894737
12,chameleon,0.001,0.5,200,0.0005,0.1,0.1,0.9,2,3,0.4482456140350878
13,chameleon,0.01,0.5,40,0.0005,0.1,0.1,0.9,2,3,0.450219298245614
14,chameleon,0.01,0.1,40,0.0005,0.1,0.1,0.9,2,3,0.45241228070175443
15,chameleon,0.01,0.9,200,0.0005,0.1,0.1,0.9,2,3,0.4537280701754387
16,chameleon,0.05,0.9,200,1e-05,0.1,0.1,0.9,2,3,0.4552631578947369
17,chameleon,0.01,0.1,200,1e-05,0.1,0.1,0.9,2,3,0.455701754385965
18,chameleon,0.05,0.5,40,0.0005,0.1,0.1,0.9,2,3,0.45592105263157895
19,chameleon,0.05,0.1,200,0.0005,0.1,0.1,0.9,2,3,0.45614035087719307
20,chameleon,0.05,0.1,40,0.0005,0.1,0.1,0.9,2,3,0.4565789473684211
21,chameleon,0.01,0.5,200,1e-05,0.1,0.1,0.9,2,3,0.45723684210526316
22,chameleon,0.05,0.5,200,0.0005,0.1,0.1,0.9,2,3,0.4574561403508772
23,chameleon,0.01,0.5,200,0.0005,0.1,0.1,0.9,2,3,0.4587719298245613
24,chameleon,0.01,0.1,200,0.0005,0.1,0.1,0.9,2,3,0.4594298245614035
25,chameleon,0.05,0.9,40,1e-05,0.1,0.1,0.9,2,3,0.46578947368421053
26,chameleon,0.001,0.1,40,1e-05,0.1,0.1,0.9,2,3,0.4675438596491229
27,chameleon,0.001,0.9,40,1e-05,0.1,0.1,0.9,2,3,0.4682017543859649
28,chameleon,0.001,0.5,40,1e-05,0.1,0.1,0.9,2,3,0.469298245614035
29,chameleon,0.01,0.9,200,1e-05,0.1,0.1,0.9,2,3,0.47171052631578936
30,chameleon,0.01,0.9,40,1e-05,0.1,0.1,0.9,2,3,0.4723684210526315
