,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
58,citeseer,0.01,0.2,200,1e-06,1.0,10000.0,0.4,2,3,0.7317390915755336
59,citeseer,0.01,0.4,200,1e-07,1.0,10000.0,0.4,2,3,0.7319055973019595
60,citeseer,0.01,0.2,200,1e-06,1.0,10000.0,0.6,2,3,0.7330083614255183
61,citeseer,0.01,0.2,200,1e-07,1.0,10000.0,0.6,2,3,0.7332803529995755
62,citeseer,0.01,0.6,200,1e-07,1.0,10000.0,0.4,2,3,0.733548925178726
63,citeseer,0.01,0.8,200,1e-06,1.0,10000.0,0.2,2,3,0.7336118800101754
64,citeseer,0.01,0.4,200,1e-06,1.0,10000.0,0.4,2,3,0.7337804782666443
65,citeseer,0.01,0.2,200,1e-07,1.0,10000.0,0.4,2,3,0.7338684280634583
66,citeseer,0.01,0.6,200,5e-05,1.0,10000.0,0.4,2,3,0.7342078114562484
67,citeseer,0.01,0.2,200,1e-07,1.0,10000.0,0.8,2,3,0.7344219496691513
68,citeseer,0.01,0.2,200,1e-06,1.0,10000.0,0.8,2,3,0.7345339487290369
69,citeseer,0.01,0.8,200,1e-07,1.0,10000.0,0.2,2,3,0.734986285332629
70,citeseer,0.01,0.6,200,1e-06,1.0,10000.0,0.4,2,3,0.7352921887389083
71,citeseer,0.01,0.4,200,1e-07,1.0,10000.0,0.6,2,3,0.7358407205921835
72,citeseer,0.01,0.4,200,1e-07,1.0,10000.0,0.8,2,3,0.7358433053205687
73,citeseer,0.01,0.6,200,1e-06,1.0,10000.0,0.6,2,3,0.736512347602946
74,citeseer,0.01,0.6,200,1e-07,1.0,10000.0,0.6,2,3,0.7365552325505893
75,citeseer,0.01,0.4,200,1e-06,1.0,10000.0,0.6,2,3,0.7368360067094221
76,citeseer,0.01,0.4,200,1e-06,1.0,10000.0,0.8,2,3,0.7372014796552683
77,citeseer,0.01,0.4,200,5e-05,1.0,10000.0,0.6,2,3,0.7374744156809825
78,citeseer,0.01,0.2,200,5e-05,1.0,10000.0,0.6,2,3,0.7381639118943432
79,citeseer,0.01,0.8,200,1e-07,1.0,10000.0,0.4,2,3,0.7383236494302432
80,citeseer,0.01,0.8,200,1e-07,1.0,10000.0,0.6,2,3,0.7388179099957984
81,citeseer,0.01,0.6,200,5e-05,1.0,10000.0,0.6,2,3,0.7393692887280412
82,citeseer,0.01,0.8,200,1e-06,1.0,10000.0,0.4,2,3,0.7394460745369914
83,citeseer,0.01,0.8,200,1e-06,1.0,10000.0,0.6,2,3,0.7403660713774091
84,citeseer,0.01,0.6,200,1e-07,1.0,10000.0,0.8,2,3,0.7415290464437433
85,citeseer,0.01,0.6,200,1e-06,1.0,10000.0,0.8,2,3,0.7424967955398598
86,citeseer,0.01,0.4,200,5e-05,1.0,10000.0,0.8,2,3,0.7432473818208393
87,citeseer,0.01,0.2,200,5e-05,1.0,10000.0,0.8,2,3,0.7433543152533598
88,citeseer,0.01,0.6,200,5e-05,1.0,10000.0,0.8,2,3,0.7446840142931401
89,citeseer,0.01,0.8,200,1e-07,1.0,10000.0,0.8,2,3,0.7476751100695898
90,citeseer,0.01,0.8,200,1e-06,1.0,10000.0,0.8,2,3,0.7495960341177491
91,cora,0.01,0.2,200,1e-07,1.0,10000.0,0.8,2,3,0.803420523138833
92,cora,0.01,0.2,200,1e-06,1.0,10000.0,0.8,2,3,0.8056338028169014
93,cora,0.01,0.4,200,1e-06,1.0,10000.0,0.8,2,3,0.8084507042253521
94,cora,0.01,0.4,200,1e-07,1.0,10000.0,0.8,2,3,0.8086519114688129
95,cora,0.01,0.6,200,1e-07,1.0,10000.0,0.8,2,3,0.8106639839034205
96,cora,0.01,0.6,200,1e-06,1.0,10000.0,0.8,2,3,0.8130784708249497
97,cora,0.01,0.8,200,1e-06,1.0,10000.0,0.8,2,3,0.815492957746479
98,cora,0.01,0.8,200,1e-07,1.0,10000.0,0.8,2,3,0.8162977867203219
99,cora,0.01,0.4,200,5e-05,1.0,10000.0,0.8,2,3,0.8279678068410463
100,cora,0.01,0.6,200,5e-05,1.0,10000.0,0.8,2,3,0.830784708249497
101,cora,0.01,0.2,200,1e-07,1.0,10000.0,0.2,2,3,0.8342052313883299
102,cora,0.01,0.4,200,1e-07,1.0,10000.0,0.2,2,3,0.83420523138833
103,cora,0.01,0.2,200,1e-06,1.0,10000.0,0.2,2,3,0.8344064386317909
104,cora,0.01,0.2,200,1e-07,1.0,10000.0,0.6,2,3,0.8350100603621732
105,cora,0.01,0.4,200,1e-06,1.0,10000.0,0.2,2,3,0.8352112676056338
106,cora,0.01,0.2,200,1e-06,1.0,10000.0,0.6,2,3,0.8362173038229377
107,cora,0.01,0.2,200,1e-07,1.0,10000.0,0.4,2,3,0.8366197183098592
108,cora,0.01,0.2,200,1e-06,1.0,10000.0,0.4,2,3,0.8370221327967806
109,cora,0.01,0.2,200,5e-05,1.0,10000.0,0.8,2,3,0.8376257545271629
110,cora,0.01,0.6,200,1e-07,1.0,10000.0,0.2,2,3,0.8382293762575452
111,cora,0.01,0.4,200,1e-06,1.0,10000.0,0.6,2,3,0.8382293762575452
112,cora,0.01,0.4,200,1e-07,1.0,10000.0,0.4,2,3,0.8388329979879275
113,cora,0.01,0.4,200,1e-07,1.0,10000.0,0.6,2,3,0.8388329979879275
114,cora,0.01,0.6,200,1e-06,1.0,10000.0,0.2,2,3,0.8390342052313882
115,cora,0.01,0.2,200,5e-05,1.0,10000.0,0.2,2,3,0.8394366197183099
116,cora,0.01,0.4,200,1e-06,1.0,10000.0,0.4,2,3,0.83943661971831
117,cora,0.01,0.4,200,5e-05,1.0,10000.0,0.2,2,3,0.8402414486921529
118,cora,0.01,0.6,200,1e-07,1.0,10000.0,0.6,2,3,0.8420523138832998
119,cora,0.01,0.6,200,1e-06,1.0,10000.0,0.4,2,3,0.8432595573440643
120,cora,0.01,0.6,200,1e-06,1.0,10000.0,0.6,2,3,0.8432595573440643
121,cora,0.01,0.6,200,5e-05,1.0,10000.0,0.2,2,3,0.8434607645875252
122,cora,0.01,0.6,200,1e-07,1.0,10000.0,0.4,2,3,0.8438631790744466
123,cora,0.01,0.8,200,1e-06,1.0,10000.0,0.2,2,3,0.8444668008048289
124,cora,0.01,0.8,200,1e-07,1.0,10000.0,0.2,2,3,0.8446680080482898
125,cora,0.01,0.8,200,5e-05,1.0,10000.0,0.2,2,3,0.8460764587525151
126,cora,0.01,0.2,200,5e-05,1.0,10000.0,0.4,2,3,0.8466800804828974
127,cora,0.01,0.8,200,1e-06,1.0,10000.0,0.4,2,3,0.8468812877263583
128,cora,0.01,0.8,200,1e-07,1.0,10000.0,0.4,2,3,0.847887323943662
129,cora,0.01,0.8,200,1e-07,1.0,10000.0,0.6,2,3,0.8492957746478872
130,cora,0.01,0.8,200,1e-06,1.0,10000.0,0.6,2,3,0.849496981891348
131,cora,0.01,0.4,200,5e-05,1.0,10000.0,0.4,2,3,0.8503018108651912
132,cora,0.01,0.6,200,5e-05,1.0,10000.0,0.4,2,3,0.8503018108651912
133,cora,0.01,0.4,200,5e-05,1.0,10000.0,0.6,2,3,0.8543259557344065
134,cora,0.01,0.6,200,5e-05,1.0,10000.0,0.6,2,3,0.8543259557344065
135,cora,0.01,0.2,200,5e-05,1.0,10000.0,0.6,2,3,0.8565392354124748
136,cornell,0.05,0.4,200,1e-07,1.0,0.1,0.6,2,3,0.7810810810810811
137,cornell,0.05,0.6,200,1e-07,1.0,0.1,0.4,2,3,0.7810810810810812
138,cornell,0.05,0.6,200,1e-07,1.0,0.1,0.2,2,3,0.7837837837837839
139,cornell,0.05,0.6,200,1e-07,1.0,0.1,0.6,2,3,0.7837837837837839
140,cornell,0.05,0.6,200,1e-07,1.0,0.1,0.8,2,3,0.7837837837837839
141,cornell,0.05,0.8,200,1e-07,1.0,0.1,0.2,2,3,0.7837837837837839
142,cornell,0.05,0.2,200,1e-07,1.0,0.1,0.4,2,3,0.7864864864864864
143,cornell,0.05,0.4,200,1e-07,1.0,0.1,0.4,2,3,0.7864864864864864
144,cornell,0.05,0.4,200,1e-07,1.0,0.1,0.8,2,3,0.7864864864864864
145,cornell,0.05,0.2,200,1e-07,1.0,0.1,0.8,2,3,0.7918918918918919
146,cornell,0.05,0.4,200,1e-07,1.0,0.1,0.2,2,3,0.7918918918918919
147,cornell,0.05,0.2,200,1e-07,1.0,0.1,0.6,2,3,0.7945945945945946
148,cornell,0.05,0.8,200,1e-06,1.0,0.1,0.2,2,3,0.7972972972972974
149,cornell,0.05,0.4,200,1e-06,1.0,0.1,0.6,2,3,0.8054054054054053
