,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,delta,norm_func_id,norm_layers,orders_func_id,orders,accuracy,std
56,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.1,2,1,2,4,0.8212,0.0029
57,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.2,2,1,2,4,0.8328,0.0028
58,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.3,2,1,2,4,0.8421,0.0046
59,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.4,2,1,2,4,0.8525,0.0044
60,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.5,2,1,2,4,0.861,0.0036
61,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.6,2,1,2,4,0.8657,0.0028
62,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.7,2,1,2,4,0.87,0.0032
63,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.8,2,1,2,4,0.8719,0.003
64,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,1.0,2,1,2,4,0.8724,0.0028
65,pubmed,0.01,0.3,40,1e-05,0.0,1000.0,0.4,0.9,2,1,2,4,0.8752,0.0049
66,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,1.0,2,1,2,1,0.5374,0.046
67,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.2,2,1,2,1,0.5435,0.0303
68,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.3,2,1,2,1,0.5469,0.0114
69,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.9,2,1,2,1,0.5476,0.0163
70,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.7,2,1,2,1,0.5478,0.0223
71,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.4,2,1,2,1,0.5479,0.0147
72,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.5,2,1,2,1,0.5485,0.0159
73,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.0,2,1,2,1,0.5495,0.0115
74,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.1,2,1,2,1,0.5495,0.0153
75,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.8,2,1,2,1,0.5513,0.0148
76,squirrel,0.1,0.0,200,0.0,0.0,100000000.0,0.0,0.6,2,1,2,1,0.5544,0.0198
77,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.2,2,2,2,3,0.5649,0.0709
78,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.0,2,2,2,3,0.5676,0.0673
79,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.1,2,2,2,3,0.5703,0.0633
80,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.4,2,2,2,3,0.5703,0.0585
81,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.5,2,2,2,3,0.5703,0.0519
82,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.3,2,2,2,3,0.5757,0.0651
83,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.6,2,2,2,3,0.6054,0.0455
84,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.7,2,2,2,3,0.6541,0.0551
85,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.8,2,2,2,3,0.7243,0.0671
86,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,0.9,2,2,2,3,0.8135,0.0409
87,texas,0.01,0.0,200,5e-05,0.0,0.1,0.1,1.0,2,2,2,3,0.8297,0.0453
88,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.1,2,2,2,3,0.4784,0.0663
89,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.0,2,2,2,3,0.4824,0.0646
90,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.2,2,2,2,3,0.4824,0.0634
91,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.3,2,2,2,3,0.4961,0.0569
92,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.4,2,2,2,3,0.5098,0.062
93,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.5,2,2,2,3,0.5569,0.0466
94,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.6,2,2,2,3,0.6196,0.0364
95,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.7,2,2,2,3,0.6706,0.0494
96,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.8,2,2,2,3,0.7667,0.0366
97,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,0.9,2,2,2,3,0.8608,0.0406
98,wisconsin,0.01,0.0,200,5e-05,0.0,1.0,0.3,1.0,2,2,2,3,0.8706,0.033
0,cora,0.01,0.6,40,5e-05,0.0,1000.0,0.8,1.0,2,2,2,4,0.8734,0.0123
1,cora,0.01,0.6,40,5e-05,0.0,1000.0,0.8,0.8,2,2,2,4,0.874,0.0122
2,cora,0.01,0.6,40,5e-05,0.0,1000.0,0.8,0.9,2,2,2,4,0.8763,0.0135
0,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.8,0.9,2,2,2,4,0.8827,0.0118
0,cora,0.01,0.9,40,5e-05,0.0,1000.0,0.8,0.9,2,2,2,4,0.8783,0.0121
0,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.8,0.9,2,2,2,4,0.8803,0.0129
0,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.7,0.9,2,3,2,4,0.8624,0.0108
1,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.7,0.9,2,3,2,5,0.864,0.013
2,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.7,0.9,2,3,2,5,0.8646,0.0115
3,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.7,0.9,2,3,2,3,0.865,0.0091
4,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.7,0.9,2,2,2,4,0.8652,0.0073
5,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.7,0.9,2,2,2,5,0.8656,0.0121
6,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.7,0.9,2,3,2,5,0.8664,0.0095
7,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.8,0.9,2,2,2,5,0.8666,0.0099
8,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.7,0.9,2,2,2,3,0.867,0.0085
9,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.9,0.9,2,1,2,3,0.867,0.0121
10,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.7,0.9,2,3,2,4,0.8672,0.0096
11,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.7,0.9,2,3,2,3,0.8674,0.0134
12,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.7,0.9,2,3,2,3,0.8674,0.0101
13,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.8,0.9,2,3,2,5,0.8676,0.0137
14,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.9,0.9,2,1,2,3,0.8676,0.0148
15,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.7,0.9,2,3,2,4,0.8678,0.0129
16,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.7,0.9,2,2,2,5,0.8678,0.0098
17,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.8,0.9,2,3,2,5,0.868,0.0114
18,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.8,0.9,2,3,2,3,0.8682,0.0089
19,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.8,0.9,2,3,2,3,0.8682,0.0091
20,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.8,0.9,2,3,2,3,0.8684,0.01
21,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.8,0.9,2,3,2,4,0.8688,0.0113
22,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.8,0.9,2,3,2,5,0.8692,0.0122
23,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.8,0.9,2,3,2,4,0.8696,0.0089
24,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.7,0.9,2,2,2,4,0.87,0.009
25,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.8,0.9,2,2,2,5,0.87,0.0129
26,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.9,0.9,2,3,2,5,0.8702,0.0119
27,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.9,0.9,2,1,2,4,0.8702,0.0145
28,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.9,0.9,2,3,2,3,0.8704,0.0098
29,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.7,0.9,2,2,2,3,0.8708,0.0116
30,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.9,0.9,2,1,2,3,0.871,0.0133
31,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.8,0.9,2,2,2,5,0.8712,0.0135
32,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.8,0.9,2,3,2,4,0.8712,0.0131
33,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.9,0.9,2,1,2,4,0.8714,0.0144
34,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.7,0.9,2,2,2,5,0.8716,0.0112
35,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.7,0.9,2,2,2,4,0.8718,0.012
36,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.8,0.9,2,2,2,3,0.8718,0.0097
37,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.9,0.9,2,1,2,5,0.8718,0.0137
38,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.8,0.9,2,2,2,4,0.872,0.0103
39,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.9,0.9,2,1,2,5,0.872,0.0142
40,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.7,0.9,2,1,2,3,0.8722,0.011
41,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.7,0.9,2,1,2,5,0.8722,0.0116
42,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.8,0.9,2,1,2,3,0.8722,0.0127
43,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.8,0.9,2,1,2,3,0.8722,0.015
44,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.9,0.9,2,1,2,4,0.8722,0.0113
45,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.8,0.9,2,1,2,3,0.8724,0.0126
46,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.8,0.9,2,2,2,3,0.8724,0.0095
47,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.9,2,1,2,3,0.8726,0.0127
48,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.9,0.9,2,1,2,4,0.8726,0.0125
49,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.7,0.9,2,3,2,4,0.8728,0.0126
50,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.7,0.9,2,1,2,3,0.8728,0.0153
51,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.9,0.9,2,1,2,3,0.8728,0.0143
52,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.9,0.9,2,3,2,5,0.8728,0.0125
53,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.7,0.9,2,2,2,3,0.873,0.0111
54,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.8,0.9,2,1,2,5,0.8732,0.0111
55,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.9,0.9,2,1,2,3,0.8734,0.0097
56,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.9,0.9,2,1,2,3,0.8734,0.0143
57,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.7,0.9,2,3,2,3,0.8736,0.0135
58,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.7,0.9,2,3,2,3,0.8736,0.0135
59,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.9,0.9,2,2,2,3,0.8736,0.0145
60,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.8,0.9,2,1,2,4,0.8738,0.013
61,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.9,0.9,2,2,2,3,0.8738,0.0143
62,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.9,0.9,2,3,2,3,0.8738,0.0108
63,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.7,0.9,2,1,2,4,0.874,0.0131
64,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.9,0.9,2,1,2,4,0.8742,0.0098
65,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.9,0.9,2,3,2,3,0.8742,0.0097
66,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.7,0.9,2,1,2,3,0.8744,0.0154
67,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.9,0.9,2,2,2,3,0.8744,0.0101
68,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.9,0.9,2,2,2,5,0.8744,0.0101
69,cora,0.01,0.8,40,5e-05,0.0,1000.0,0.7,0.9,2,3,2,5,0.8746,0.0143
70,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.9,0.9,2,3,2,4,0.8746,0.0115
71,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.9,0.9,2,3,2,5,0.8746,0.0117
72,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.8,0.9,2,1,2,4,0.8748,0.0125
73,cora,0.01,0.8,100,1e-05,0.0,1000.0,0.8,0.9,2,2,2,4,0.8748,0.0131
74,cora,0.01,0.8,40,0.0001,0.0,1000.0,0.9,0.9,2,2,2,3,0.8748,0.0143
75,cora,0.01,0.8,100,5e-05,0.0,1000.0,0.9,0.9,2,1,2,5,0.8748,0.0119
76,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.9,0.9,2,2,2,3,0.8751,0.0098
77,cora,0.01,0.8,100,0.0001,0.0,1000.0,0.9,0.9,2,3,2,4,0.8751,0.0128
