,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
0,chameleon,0.01,0.2,40,0.0001,0.1,0.1,0.6,2,3,0.465131579
1,chameleon,0.01,0.8,40,0.0001,0.1,0.1,0.4,2,3,0.465789474
2,chameleon,0.01,0.2,40,0.0001,0.1,0.1,0.4,2,3,0.465789474
3,chameleon,0.01,0.6,40,0.0001,0.1,0.1,0.2,2,3,0.465789474
4,chameleon,0.01,0.8,40,0.0001,0.1,0.1,0.2,2,3,0.465789474
5,chameleon,0.01,0.2,40,0.0001,0.1,0.1,0.8,2,3,0.46622807
6,chameleon,0.01,0.6,40,0.0001,0.1,0.1,0.4,2,3,0.466666667
7,chameleon,0.01,0.8,40,0.0001,0.1,0.1,0.8,2,3,0.466885965
8,chameleon,0.01,0.8,40,0.0001,0.1,0.1,0.6,2,3,0.467105263
9,chameleon,0.01,0.2,40,0.0001,0.1,0.1,0.2,2,3,0.467324561
10,chameleon,0.01,0.4,40,0.0001,0.1,0.1,0.2,2,3,0.467763158
11,chameleon,0.01,0.6,40,0.0001,0.1,0.1,0.6,2,3,0.467982456
12,chameleon,0.01,0.4,40,0.0001,0.1,0.1,0.6,2,3,0.469517544
13,chameleon,0.01,0.8,40,5.00E-05,0.1,0.1,0.2,2,3,0.469736842
14,chameleon,0.01,0.6,40,0.0001,0.1,0.1,0.8,2,3,0.46995614
15,chameleon,0.01,0.4,40,0.0001,0.1,0.1,0.8,2,3,0.470394737
16,chameleon,0.01,0.2,40,5.00E-05,0.1,0.1,0.8,2,3,0.471052632
17,chameleon,0.01,0.8,40,5.00E-05,0.1,0.1,0.4,2,3,0.471052632
18,chameleon,0.01,0.4,40,0.0001,0.1,0.1,0.4,2,3,0.471052632
19,chameleon,0.01,0.8,40,5.00E-05,0.1,0.1,0.8,2,3,0.471710526
20,chameleon,0.01,0.4,40,5.00E-05,0.1,0.1,0.2,2,3,0.471929825
21,chameleon,0.01,0.8,40,5.00E-05,0.1,0.1,0.6,2,3,0.471929825
22,chameleon,0.01,0.2,40,5.00E-05,0.1,0.1,0.6,2,3,0.472587719
23,chameleon,0.01,0.6,40,5.00E-05,0.1,0.1,0.2,2,3,0.472807018
24,chameleon,0.01,0.2,40,5.00E-05,0.1,0.1,0.2,2,3,0.473245614
25,chameleon,0.01,0.2,40,5.00E-05,0.1,0.1,0.4,2,3,0.473245614
26,chameleon,0.01,0.4,40,5.00E-05,0.1,0.1,0.8,2,3,0.473903509
27,chameleon,0.01,0.6,40,5.00E-05,0.1,0.1,0.4,2,3,0.474561404
28,chameleon,0.01,0.6,40,5.00E-05,0.1,0.1,0.6,2,3,0.475
29,chameleon,0.01,0.8,40,1.00E-07,0.1,0.1,0.2,2,3,0.475438596
30,chameleon,0.01,0.8,40,1.00E-06,0.1,0.1,0.4,2,3,0.475438596
31,chameleon,0.01,0.4,40,5.00E-05,0.1,0.1,0.4,2,3,0.476096491
32,chameleon,0.01,0.8,40,1.00E-07,0.1,0.1,0.4,2,3,0.476096491
33,chameleon,0.01,0.4,40,5.00E-05,0.1,0.1,0.6,2,3,0.476315789
34,chameleon,0.01,0.8,40,1.00E-06,0.1,0.1,0.2,2,3,0.476315789
35,chameleon,0.01,0.8,40,1.00E-07,0.1,0.1,0.6,2,3,0.476535088
36,chameleon,0.01,0.8,40,1.00E-06,0.1,0.1,0.6,2,3,0.476754386
37,chameleon,0.01,0.6,40,5.00E-05,0.1,0.1,0.8,2,3,0.476973684
38,chameleon,0.01,0.8,40,1.00E-06,0.1,0.1,0.8,2,3,0.477412281
39,chameleon,0.01,0.8,40,1.00E-07,0.1,0.1,0.8,2,3,0.478070175
40,chameleon,0.01,0.4,40,1.00E-07,0.1,0.1,0.2,2,3,0.479385965
41,chameleon,0.01,0.4,40,1.00E-06,0.1,0.1,0.2,2,3,0.481140351
42,chameleon,0.01,0.6,40,1.00E-07,0.1,0.1,0.2,2,3,0.481359649
43,chameleon,0.01,0.6,40,1.00E-06,0.1,0.1,0.4,2,3,0.481798246
44,chameleon,0.01,0.6,40,1.00E-06,0.1,0.1,0.2,2,3,0.482017544
45,chameleon,0.01,0.2,40,1.00E-07,0.1,0.1,0.6,2,3,0.482236842
46,chameleon,0.01,0.2,40,1.00E-06,0.1,0.1,0.8,2,3,0.48245614
47,chameleon,0.01,0.6,40,1.00E-07,0.1,0.1,0.6,2,3,0.482675439
48,chameleon,0.01,0.2,40,1.00E-06,0.1,0.1,0.4,2,3,0.482675439
49,chameleon,0.01,0.6,40,1.00E-07,0.1,0.1,0.4,2,3,0.482675439
50,chameleon,0.01,0.4,40,1.00E-06,0.1,0.1,0.4,2,3,0.482675439
51,chameleon,0.01,0.4,40,1.00E-07,0.1,0.1,0.4,2,3,0.482894737
52,chameleon,0.01,0.2,40,1.00E-07,0.1,0.1,0.4,2,3,0.483114035
53,chameleon,0.01,0.2,40,1.00E-07,0.1,0.1,0.8,2,3,0.483114035
54,chameleon,0.01,0.2,40,1.00E-06,0.1,0.1,0.6,2,3,0.483114035
55,chameleon,0.01,0.6,40,1.00E-06,0.1,0.1,0.6,2,3,0.483114035
56,chameleon,0.01,0.4,40,1.00E-07,0.1,0.1,0.6,2,3,0.483333333
57,chameleon,0.01,0.2,40,1.00E-07,0.1,0.1,0.2,2,3,0.483991228
58,chameleon,0.01,0.2,40,1.00E-06,0.1,0.1,0.2,2,3,0.483991228
59,chameleon,0.01,0.4,40,1.00E-06,0.1,0.1,0.6,2,3,0.483991228
60,chameleon,0.01,0.4,40,1.00E-07,0.1,0.1,0.8,2,3,0.484210526
61,chameleon,0.01,0.4,40,1.00E-06,0.1,0.1,0.8,2,3,0.484649123
62,chameleon,0.01,0.6,40,1.00E-06,0.1,0.1,0.8,2,3,0.484868421
63,chameleon,0.01,0.6,40,1.00E-07,0.1,0.1,0.8,2,3,0.485087719
64,citeseer,0.01,0.8,40,0.0001,1,10000,0.2,2,3,0.717224052
65,citeseer,0.01,0.8,40,5.00E-05,1,10000,0.2,2,3,0.722818826
66,citeseer,0.01,0.4,40,0.0001,1,10000,0.2,2,3,0.723174024
67,citeseer,0.01,0.6,40,0.0001,1,10000,0.2,2,3,0.724357385
68,citeseer,0.01,0.2,40,0.0001,1,10000,0.2,2,3,0.72439306
69,citeseer,0.01,0.6,40,5.00E-05,1,10000,0.2,2,3,0.725058771
