,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
2,chameleon,0.05,0.5,200,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6289473684210526
3,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6385964912280702
0,chameleon,0.05,0.9,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.33289473684210524
1,chameleon,0.05,0.8,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.531140350877193
2,chameleon,0.05,0.0,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.5657894736842105
3,chameleon,0.05,0.6,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6032894736842105
4,chameleon,0.05,0.1,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6118421052631577
5,chameleon,0.05,0.2,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.613157894736842
6,chameleon,0.05,0.3,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.618859649122807
7,chameleon,0.05,0.7,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6267543859649123
8,chameleon,0.05,0.5,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6385964912280702
9,chameleon,0.05,0.4,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6403508771929824
0,chameleon,0.05,0.4,250,0.001,1.0,1000000.0,0.1,2,2,3,3,0.2690789473684211
1,chameleon,0.05,0.4,250,0.0005,1.0,1000000.0,0.1,2,2,3,3,0.6028508771929826
2,chameleon,0.05,0.4,250,5e-07,1.0,1000000.0,0.1,2,2,3,3,0.6072368421052631
3,chameleon,0.05,0.4,250,0.0,1.0,1000000.0,0.1,2,2,3,3,0.6089912280701755
4,chameleon,0.05,0.4,250,1e-07,1.0,1000000.0,0.1,2,2,3,3,0.6149122807017543
5,chameleon,0.05,0.4,250,1e-06,1.0,1000000.0,0.1,2,2,3,3,0.6234649122807017
6,chameleon,0.05,0.4,250,0.0001,1.0,1000000.0,0.1,2,2,3,3,0.637061403508772
7,chameleon,0.05,0.4,250,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.6403508771929824
8,chameleon,0.05,0.4,250,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.642543859649123
9,chameleon,0.05,0.4,250,1e-05,1.0,1000000.0,0.1,2,2,3,3,0.6515350877192982
