,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,delta,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.0,2,2,2,1,0.650438596491228
1,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.1,2,2,2,1,0.6513157894736842
2,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.3,2,2,2,1,0.656578947368421
3,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.2,2,2,2,1,0.6603070175438596
4,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.4,2,2,2,1,0.6651315789473685
5,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.5,2,2,2,1,0.6668859649122807
6,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.6,2,2,2,1,0.6701754385964912
7,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.7,2,2,2,1,0.6701754385964913
8,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.8,2,2,2,1,0.6712719298245614
9,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,0.9,2,2,2,1,0.6745614035087719
10,chameleon,0.01,0.0,200,0.0,0.0,10000000.0,0.0,1.0,2,2,2,1,0.6791666666666667
11,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.0,2,2,2,1,0.6722491717636689
12,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.1,2,2,2,1,0.6785813548666599
13,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.2,2,2,2,1,0.6942344621658445
14,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.3,2,2,2,1,0.710034389457666
15,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.4,2,2,2,1,0.7200461658333674
16,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.5,2,2,2,1,0.7255367463867894
17,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.6,2,2,2,1,0.7349000302420924
18,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.7,2,2,2,1,0.7455775489617065
19,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.8,2,2,2,1,0.7528247012777163
20,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,1.0,2,2,2,1,0.7632650396207395
21,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.9,2,2,2,1,0.7642705535823427
22,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.0,2,2,2,4,0.8384305835010061
23,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.1,2,2,2,4,0.8406438631790744
24,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.2,2,2,2,4,0.8430583501006037
25,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.3,2,2,2,4,0.8470824949698189
26,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.4,2,2,2,4,0.8509054325955734
27,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.5,2,2,2,4,0.8551307847082494
28,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.6,2,2,2,4,0.8611670020120725
29,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.7,2,2,2,4,0.8670020120724345
30,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.8,2,2,2,4,0.8754527162977868
31,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,1.0,2,2,2,4,0.8762575452716298
32,cora,0.001,0.6,40,5e-05,0.0,1000.0,0.8,0.9,2,2,2,4,0.8798792756539235
33,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.1,2,2,2,1,0.44054054054054054
34,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.0,2,2,2,1,0.4459459459459459
35,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.2,2,2,2,1,0.44594594594594594
36,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.3,2,2,2,1,0.454054054054054
37,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.4,2,2,2,1,0.47297297297297297
38,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.5,2,2,2,1,0.527027027027027
39,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.6,0.6,2,2,2,1,0.5756756756756757
