,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
5,cora,0.05,0.2,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8442655935613683
6,cora,0.05,0.7,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8496981891348089
7,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8541247484909456
8,cora,0.05,0.3,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8543259557344065
9,cora,0.05,0.4,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.858953722334004
0,cora,0.05,0.9,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.49175050301810863
1,cora,0.05,0.8,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.8006036217303822
2,cora,0.05,0.0,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.846277665995976
3,cora,0.05,0.1,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.8509054325955734
4,cora,0.05,0.2,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.8547283702213277
5,cora,0.05,0.7,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.8599597585513077
6,cora,0.05,0.3,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.8611670020120725
7,cora,0.05,0.4,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.864989939637827
8,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.8661971830985916
9,cora,0.05,0.6,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.8672032193158954
0,cora,0.05,0.6,40,1e-05,100000000.0,10000.0,0.7,2,2,3,3,0.7557344064386318
1,cora,0.05,0.6,40,1e-05,100.0,10000.0,0.7,2,2,3,3,0.8655935613682091
2,cora,0.05,0.6,40,1e-05,0.1,10000.0,0.7,2,2,3,3,0.8659959758551306
3,cora,0.05,0.6,40,1e-05,0.01,10000.0,0.7,2,2,3,3,0.8668008048289739
4,cora,0.05,0.6,40,1e-05,10.0,10000.0,0.7,2,2,3,3,0.8670020120724345
5,cora,0.05,0.6,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.8672032193158954
6,cora,0.05,0.6,40,1e-05,0.0,10000.0,0.7,2,2,3,3,0.867605633802817
7,cora,0.05,0.6,40,1e-05,10000.0,10000.0,0.7,2,2,3,3,0.8720321931589536
8,cora,0.05,0.6,40,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8730382293762575
0,cora,0.1,0.6,200,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8545271629778671
1,cora,0.1,0.6,250,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8551307847082494
2,cora,0.05,0.6,250,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.864185110663984
3,cora,0.05,0.6,200,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8655935613682091
4,cora,0.1,0.6,100,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8659959758551308
5,cora,0.05,0.6,100,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.870020120724346
6,cora,0.1,0.6,40,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8714285714285713
7,cora,0.01,0.6,200,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8720321931589539
8,cora,0.01,0.6,250,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8730382293762575
9,cora,0.05,0.6,40,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8730382293762575
10,cora,0.01,0.6,100,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8786720321931589
11,cora,0.01,0.6,40,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8796780684104629
0,cora,0.01,0.6,40,1e-05,1000000.0,10000.0,0.7,2,2,3,1,0.8708249496981892
1,cora,0.01,0.6,40,1e-05,1000000.0,10000.0,0.7,2,2,3,2,0.877665995975855
2,cora,0.01,0.6,40,1e-05,1000000.0,10000.0,0.7,2,2,3,5,0.8788732394366198
3,cora,0.01,0.6,40,1e-05,1000000.0,10000.0,0.7,2,2,3,3,0.8796780684104629
4,cora,0.01,0.6,40,1e-05,1000000.0,10000.0,0.7,2,2,3,4,0.8806841046277665
