,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
67,citeseer,0.01,0.5,40,0.0005,10.0,0.5,0.5,2,3,0.7231757781261697
68,citeseer,0.01,0.5,40,0.0005,0.5,0.5,0.5,2,3,0.7232195483013697
69,citeseer,0.01,0.5,40,0.0005,10.0,0.1,0.9,2,3,0.7232879603186252
70,citeseer,0.01,0.5,40,0.0005,0.1,0.1,0.1,2,3,0.7233723004032679
71,citeseer,0.01,0.5,40,0.0005,1.0,10.0,0.9,2,3,0.7233727506039869
72,citeseer,0.01,0.5,40,0.0005,0.1,1.0,0.9,2,3,0.7233919620820078
73,citeseer,0.01,0.5,40,0.0005,10.0,1.0,0.5,2,3,0.7234772100984026
74,citeseer,0.01,0.5,40,0.0005,0.1,0.5,0.9,2,3,0.7235416565598944
75,citeseer,0.01,0.5,40,0.0005,0.5,1.0,0.9,2,3,0.7235425638053836
76,citeseer,0.01,0.5,40,0.0005,0.1,0.1,0.5,2,3,0.7235872514983421
77,citeseer,0.01,0.5,40,0.0005,10.0,10.0,0.9,2,3,0.7236093864289241
78,citeseer,0.01,0.5,40,0.0005,10.0,0.1,0.5,2,3,0.723627586724515
79,citeseer,0.01,0.5,40,0.0005,0.5,1.0,0.5,2,3,0.7236923849213107
80,citeseer,0.01,0.5,40,0.0005,0.1,1.0,0.5,2,3,0.7237579664675103
81,citeseer,0.01,0.5,40,0.0005,1.0,0.5,0.5,2,3,0.7238409395230343
82,citeseer,0.01,0.5,40,0.0005,0.5,10.0,0.1,2,3,0.7239118543403789
83,citeseer,0.01,0.5,40,0.0005,0.5,0.1,0.5,2,3,0.7239755167723961
84,citeseer,0.01,0.5,40,0.0005,1.0,0.5,0.1,2,3,0.7239761982312634
85,citeseer,0.01,0.5,40,0.0005,0.5,0.1,0.1,2,3,0.7241917048334269
86,citeseer,0.01,0.5,40,0.0005,0.5,0.5,0.1,2,3,0.7242776322591883
87,citeseer,0.01,0.5,40,0.0005,0.1,0.1,0.9,2,3,0.7244445936609551
88,citeseer,0.01,0.5,40,0.0005,1.0,1.0,0.5,2,3,0.7244458519616777
89,citeseer,0.01,0.5,40,0.0005,0.1,10.0,0.1,2,3,0.7244475439260001
90,citeseer,0.01,0.5,40,0.0005,1.0,0.1,0.1,2,3,0.7247292123320522
91,citeseer,0.01,0.5,40,0.0005,1.0,10.0,0.1,2,3,0.7247519295791118
92,citeseer,0.01,0.5,40,0.0005,1.0,0.1,0.5,2,3,0.7248789068130349
93,citeseer,0.01,0.5,40,0.0005,0.5,10.0,0.5,2,3,0.7248995803573718
94,citeseer,0.01,0.5,40,0.0005,0.1,10.0,0.5,2,3,0.7250492748352583
95,citeseer,0.01,0.5,40,0.0005,1.0,10.0,0.5,2,3,0.7250510927513585
96,cora,0.01,0.5,40,0.0005,10.0,10.0,0.1,2,3,0.7388329979879276
97,cora,0.01,0.5,40,0.0005,10.0,1.0,0.1,2,3,0.7390342052313883
98,cora,0.01,0.5,40,0.0005,10.0,0.5,0.1,2,3,0.7398390342052313
99,cora,0.01,0.5,40,0.0005,10.0,0.1,0.1,2,3,0.741046277665996
100,cora,0.01,0.5,40,0.0005,0.5,0.1,0.1,2,3,0.744466800804829
101,cora,0.01,0.5,40,0.0005,1.0,10.0,0.5,2,3,0.744466800804829
102,cora,0.01,0.5,40,0.0005,1.0,0.1,0.1,2,3,0.7446680080482898
103,cora,0.01,0.5,40,0.0005,0.5,10.0,0.5,2,3,0.7448692152917504
104,cora,0.01,0.5,40,0.0005,1.0,1.0,0.5,2,3,0.7448692152917504
105,cora,0.01,0.5,40,0.0005,0.1,10.0,0.5,2,3,0.745271629778672
106,cora,0.01,0.5,40,0.0005,10.0,10.0,0.5,2,3,0.745271629778672
107,cora,0.01,0.5,40,0.0005,0.5,1.0,0.1,2,3,0.7452716297786721
108,cora,0.01,0.5,40,0.0005,1.0,10.0,0.1,2,3,0.7452716297786721
109,cora,0.01,0.5,40,0.0005,10.0,0.5,0.5,2,3,0.7454728370221327
110,cora,0.01,0.5,40,0.0005,1.0,0.5,0.1,2,3,0.7456740442655935
111,cora,0.01,0.5,40,0.0005,10.0,1.0,0.5,2,3,0.7456740442655935
112,cora,0.01,0.5,40,0.0005,0.1,0.1,0.1,2,3,0.7456740442655936
113,cora,0.01,0.5,40,0.0005,1.0,0.1,0.5,2,3,0.7456740442655936
114,cora,0.01,0.5,40,0.0005,10.0,0.1,0.5,2,3,0.7456740442655936
115,cora,0.01,0.5,40,0.0005,10.0,0.1,0.9,2,3,0.7456740442655936
116,cora,0.01,0.5,40,0.0005,10.0,0.5,0.9,2,3,0.7456740442655936
117,cora,0.01,0.5,40,0.0005,10.0,1.0,0.9,2,3,0.7456740442655936
118,cora,0.01,0.5,40,0.0005,0.1,1.0,0.5,2,3,0.7458752515090542
119,cora,0.01,0.5,40,0.0005,1.0,0.5,0.5,2,3,0.7458752515090542
120,cora,0.01,0.5,40,0.0005,0.1,1.0,0.1,2,3,0.746076458752515
121,cora,0.01,0.5,40,0.0005,1.0,1.0,0.1,2,3,0.746076458752515
122,cora,0.01,0.5,40,0.0005,0.5,10.0,0.1,2,3,0.7460764587525152
123,cora,0.01,0.5,40,0.0005,1.0,1.0,0.9,2,3,0.7460764587525152
124,cora,0.01,0.5,40,0.0005,0.5,0.5,0.1,2,3,0.7462776659959759
125,cora,0.01,0.5,40,0.0005,0.1,0.5,0.5,2,3,0.7464788732394366
126,cora,0.01,0.5,40,0.0005,0.5,0.1,0.5,2,3,0.7464788732394366
127,cora,0.01,0.5,40,0.0005,1.0,0.5,0.9,2,3,0.7464788732394366
128,cora,0.01,0.5,40,0.0005,0.1,1.0,0.9,2,3,0.7466800804828974
129,cora,0.01,0.5,40,0.0005,0.1,10.0,0.1,2,3,0.7466800804828974
130,cora,0.01,0.5,40,0.0005,0.5,0.5,0.5,2,3,0.7466800804828975
131,cora,0.01,0.5,40,0.0005,0.5,1.0,0.9,2,3,0.7468812877263581
132,cora,0.01,0.5,40,0.0005,0.5,0.5,0.9,2,3,0.7468812877263582
