,dataset,lr,epoch,hidden,dropout,weight_decay,alpha,beta,gamma,norm_layers,orders,high_train,high_valid,final_train,final_test
0,genius,0.01,500,256,0.0,0.0,1.0,0.1,0.5,3,1,50.00,50.00,50.00,50.00
1,genius,0.005,500,256,0.0,0.0,1.0,0.1,0.1,2,3,50.00,50.00,50.00,50.00
2,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.5,3,3,50.00,50.00,50.00,50.00
3,genius,0.01,500,256,0.0,0.0,1.0,0.1,0.1,2,1,50.00,50.00,50.00,50.00
4,genius,0.01,500,256,0.0,0.0,1.0,0.1,0.1,2,2,50.00,50.00,50.00,50.00
5,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.1,2,3,50.00,50.00,50.00,50.00
6,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.9,3,1,50.00,50.00,50.00,50.00
7,genius,0.01,500,256,0.0,0.0,1.0,0.1,0.1,3,2,50.00,50.00,50.00,50.00
8,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.9,3,2,50.00,50.00,50.00,50.00
9,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.5,3,1,50.00,50.00,50.00,50.00
10,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.5,2,3,50.00,50.00,50.00,50.00
11,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.9,3,3,50.00,50.00,50.00,50.00
12,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.1,3,1,50.00,50.00,50.00,50.00
13,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.1,3,2,50.00,50.00,50.00,50.00
14,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.1,3,3,50.00,50.00,50.00,50.00
15,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.1,2,1,50.03,50.04,50.03,50.04
16,genius,0.01,500,256,0.0,0.0,1.0,0.1,0.5,3,2,50.05,50.05,50.05,50.05
17,genius,0.005,500,256,0.0,0.0,1.0,0.1,0.1,3,2,50.05,50.06,50.05,50.05
18,genius,0.05,500,256,0.0,0.0,1.0,0.1,0.5,1,2,50.06,50.07,50.06,50.06
