link,Penn94,81.165 ± 0.317,80.804 ± 0.413
link,Penn94,81.179 ± 0.282,80.857 ± 0.514
link,Penn94,81.175 ± 0.307,80.868 ± 0.510
link,Penn94,81.202 ± 0.422,80.882 ± 0.451
link,Penn94,81.212 ± 0.372,80.787 ± 0.516
link,Penn94,81.191 ± 0.299,80.866 ± 0.479
link,Penn94,81.196 ± 0.318,80.818 ± 0.518
link,Penn94,81.212 ± 0.366,80.804 ± 0.510
link,Penn94,81.163 ± 0.317,80.833 ± 0.524
mlpnorm,Penn94,73.954 ± 0.410,73.556 ± 0.589
mlpnorm,Penn94,73.948 ± 0.512,73.579 ± 0.549
mlpnorm,Penn94,73.876 ± 0.482,73.642 ± 0.664
mlpnorm,Penn94,73.882 ± 0.504,73.529 ± 0.500
mlpnorm,Penn94,73.969 ± 0.348,73.591 ± 0.470
mlpnorm,Penn94,73.608 ± 0.724,73.148 ± 0.903
mlpnorm,Penn94,73.950 ± 0.476,73.352 ± 0.524
mlpnorm,Penn94,73.660 ± 0.755,73.119 ± 0.916
mlpnorm,Penn94,74.113 ± 0.484,73.849 ± 0.481
mlpnorm,Penn94,73.942 ± 0.413,73.682 ± 0.508
mlpnorm,Penn94,74.080 ± 0.435,73.686 ± 0.563
mlpnorm,Penn94,73.872 ± 0.652,73.634 ± 0.896
mlpnorm,Penn94,73.913 ± 0.559,73.447 ± 0.577
mlpnorm,Penn94,73.839 ± 0.810,73.307 ± 1.018
mlpnorm,Penn94,73.975 ± 0.611,73.634 ± 0.425
mlpnorm,Penn94,73.513 ± 0.914,73.129 ± 0.929
mlpnorm,Penn94,74.064 ± 0.509,73.745 ± 0.434
mlpnorm,Penn94,73.975 ± 0.796,73.599 ± 0.669
mlpnorm,Penn94,74.101 ± 0.484,73.585 ± 0.616
mlpnorm,Penn94,73.975 ± 0.661,73.502 ± 0.668
mlpnorm,Penn94,74.101 ± 0.332,73.758 ± 0.497
mlpnorm,Penn94,73.798 ± 0.648,73.467 ± 0.560
mlpnorm,Penn94,74.086 ± 0.371,73.599 ± 0.461
mlpnorm,Penn94,73.884 ± 0.772,73.414 ± 0.695
mlpnorm,Penn94,72.464 ± 1.560,71.833 ± 1.822
mlpnorm,Penn94,74.606 ± nan,74.930 ± nan
mlpnorm,Penn94,74.750 ± nan,74.858 ± nan
mlpnorm,Penn94,79.439 ± nan,79.341 ± nan
mlpnorm,Penn94,79.068 ± nan,78.650 ± nan
mlpnorm,Penn94,81.212 ± nan,80.608 ± nan
mlpnorm,Penn94,74.925 ± nan,74.137 ± nan
mlpnorm,Penn94,81.336 ± nan,80.618 ± nan
mlpnorm,Penn94,78.357 ± nan,77.702 ± nan
mlpnorm,Penn94,79.872 ± nan,79.217 ± nan
mlpnorm,Penn94,80.862 ± nan,80.247 ± nan
mlpnorm,Penn94,81.892 ± nan,81.875 ± nan
mlpnorm,Penn94,81.325 ± nan,81.051 ± nan
mlpnorm,Penn94,74.915 ± nan,74.827 ± nan
mlpnorm,Penn94,80.872 ± nan,80.484 ± nan
mlpnorm,Penn94,82.160 ± nan,81.577 ± nan
mlpnorm,Penn94,81.624 ± nan,81.216 ± nan
mlpnorm,Penn94,81.655 ± nan,81.154 ± nan
mlpnorm,Penn94,81.635 ± nan,80.639 ± nan
mlpnorm,Penn94,81.346 ± nan,80.556 ± nan
mlpnorm,Penn94,75.090 ± nan,74.704 ± nan
mlpnorm,Penn94,76.110 ± nan,75.549 ± nan
mlpnorm,Penn94,74.307 ± nan,72.921 ± nan
mlpnorm,Penn94,81.882 ± nan,81.566 ± nan
mlpnorm,Penn94,82.480 ± nan,81.844 ± nan
mlpnorm,Penn94,81.851 ± nan,81.236 ± nan
mlpnorm,Penn94,79.718 ± nan,79.516 ± nan
mlpnorm,Penn94,52.345 ± nan,52.911 ± nan
mlpnorm,Penn94,51.974 ± nan,52.756 ± nan
mlpnorm,Penn94,51.943 ± nan,52.798 ± nan
mlpnorm,Penn94,82.212 ± nan,81.978 ± nan
mlpnorm,Penn94,79.511 ± nan,79.320 ± nan
mlpnorm,Penn94,77.522 ± nan,77.671 ± nan
mlpnorm,Penn94,82.263 ± nan,81.360 ± nan
mlpnorm,Penn94,82.201 ± nan,81.917 ± nan
mlpnorm,Penn94,81.975 ± nan,81.659 ± nan
mlpnorm,Penn94,81.799 ± nan,81.123 ± nan
mlpnorm,Penn94,82.377 ± nan,81.803 ± nan
mlpnorm,Penn94,82.882 ± nan,82.092 ± nan
mlpnorm,Penn94,82.418 ± nan,81.741 ± nan
mlpnorm,Penn94,82.191 ± nan,81.432 ± nan
mlpnorm,Penn94,82.521 ± nan,81.762 ± nan
mlpnorm,Penn94,82.088 ± nan,81.844 ± nan
mlpnorm,Penn94,82.057 ± nan,81.546 ± nan
mlpnorm,Penn94,82.377 ± nan,81.906 ± nan
mlpnorm,Penn94,82.140 ± nan,81.628 ± nan
mlpnorm,Penn94,81.150 ± nan,80.649 ± nan
mlpnorm,Penn94,63.341 ± nan,63.452 ± nan
mlpnorm,Penn94,72.318 ± nan,72.798 ± nan
mlpnorm,Penn94,73.338 ± nan,73.498 ± nan
mlpnorm,Penn94,69.308 ± nan,69.995 ± nan
mlpnorm,Penn94,74.348 ± nan,74.116 ± nan
mlpnorm,Penn94,77.120 ± nan,77.239 ± nan
mlpnorm,Penn94,74.060 ± nan,73.982 ± nan
mlpnorm,Penn94,73.874 ± nan,74.436 ± nan
mlpnorm,Penn94,74.575 ± nan,74.477 ± nan
mlpnorm,Penn94,73.864 ± nan,74.323 ± nan
