,dataset,lr,epoch,hidden,dropout,weight_decay,alpha,beta,gamma,norm_layers,orders,high_train,high_valid,final_train,final_test
0,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.1,1,1,87.96,87.97,87.96,88.00
1,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.1,1,2,87.21,87.22,87.21,87.21
2,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.1,1,3,87.16,87.19,87.15,87.16
3,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.1,2,1,86.07,85.98,86.07,86.21
4,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.1,2,2,86.74,86.70,86.74,86.74
5,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.1,2,3,86.71,86.72,86.71,86.78
6,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.1,3,1,87.73,87.75,87.73,87.72
7,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.1,3,2,85.97,85.94,85.97,86.01
8,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.1,3,3,86.62,86.65,86.62,86.76
9,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.5,1,1,88.26,88.31,88.26,88.26
10,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.5,1,2,86.68,86.56,86.68,86.76
11,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.5,1,3,88.35,88.30,88.34,88.32
12,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.5,2,1,87.28,87.27,87.28,87.31
13,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.5,2,2,86.54,86.52,86.54,86.63
14,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.5,2,3,85.83,85.65,85.83,85.89
15,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.5,3,1,87.18,87.13,87.18,87.26
16,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.5,3,2,86.75,86.66,86.75,86.88
17,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.5,3,3,87.07,87.13,87.07,87.12
18,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.9,1,1,87.26,87.28,87.26,87.27
19,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.9,1,2,87.28,87.20,87.28,87.25
20,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.9,1,3,88.17,87.98,88.17,88.03
21,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.9,2,1,88.33,88.35,88.32,88.31
22,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.9,2,2,86.52,86.45,86.52,86.64
23,genius,0.01,500,128,0.0,0.0,1.0,10.0,0.9,2,3,87.79,87.69,87.79,87.70
