,dataset,lr,epoch,hidden,dropout,weight_decay,alpha,beta,gamma,norm_layers,orders,high_train,high_valid,final_train,final_test
0,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,1,61.78,61.46,61.64,61.24
1,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,2,61.97,61.71,61.83,61.49
2,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,0.1,0.1,2,3,60.65,60.18,60.65,60.38
3,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,1,61.97,61.56,61.69,61.33
4,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,2,62.11,61.88,62.02,61.70
5,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,0.1,0.5,2,3,60.20,59.84,60.06,59.99
6,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,1,62.17,61.94,62.10,61.87
7,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,2,62.11,61.97,62.01,61.75
8,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,0.1,0.9,2,3,60.44,60.29,60.41,60.07
9,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,1,62.13,61.90,62.13,61.90
10,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,2,60.91,60.55,60.91,60.71
11,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,10.0,0.1,2,3,57.07,57.31,57.07,57.68
12,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,1,62.36,62.15,62.29,62.05
13,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,2,61.31,61.03,61.19,60.97
14,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,10.0,0.5,2,3,59.49,59.49,59.43,59.48
15,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,1,62.38,62.30,62.36,62.19
16,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,2,61.46,61.18,61.43,61.16
17,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,10.0,0.9,2,3,52.45,52.38,52.35,52.52
18,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,1,61.80,61.57,61.78,61.71
19,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,2,58.46,58.49,58.46,58.40
20,twitch-gamer,0.01,1000,256,0.0,0.0,1.0,1000.0,0.1,2,3,53.97,53.93,53.94,53.91
