,dataset,lr,epoch,hidden,dropout,weight_decay,alpha,beta,gamma,norm_layers,orders,high_train,high_valid,final_train,final_test
0,fb100,0.001,1000,128,0.0,0.0,1.0,1000.0,0.4,2,1,96.55,83.41,93.95,83.01
1,fb100,0.001,1000,128,0.0,1e-07,1.0,1000.0,0.4,2,1,96.69,83.30,93.01,82.93
2,fb100,0.001,1000,128,0.0,5e-07,1.0,1000.0,0.4,2,1,96.88,83.34,93.07,82.80
3,fb100,0.001,1000,128,0.0,1e-06,1.0,1000.0,0.4,2,1,96.73,83.24,93.09,82.83
4,fb100,0.001,1000,128,0.1,0.0,1.0,1000.0,0.4,2,1,95.33,83.24,93.13,82.96
5,fb100,0.001,1000,128,0.1,1e-07,1.0,1000.0,0.4,2,1,95.77,83.44,93.41,83.01
6,fb100,0.001,1000,128,0.1,5e-07,1.0,1000.0,0.4,2,1,95.43,83.46,93.42,83.00
7,fb100,0.001,1000,128,0.1,1e-06,1.0,1000.0,0.4,2,1,95.64,83.44,93.89,83.19
8,fb100,0.001,1000,128,0.2,0.0,1.0,1000.0,0.4,2,1,94.61,83.23,93.56,82.94
9,fb100,0.001,1000,128,0.2,1e-07,1.0,1000.0,0.4,2,1,94.31,83.20,92.76,82.81
10,fb100,0.001,1000,128,0.2,5e-07,1.0,1000.0,0.4,2,1,94.39,83.25,93.49,82.83
11,fb100,0.001,1000,128,0.2,1e-06,1.0,1000.0,0.4,2,1,94.96,83.49,94.03,83.09
12,fb100,0.001,1000,128,0.0,0.0,1.0,1000.0,0.5,2,1,97.29,83.73,94.48,83.32
13,fb100,0.001,1000,128,0.0,1e-07,1.0,1000.0,0.5,2,1,97.14,83.67,95.20,83.44
14,fb100,0.001,1000,128,0.0,5e-07,1.0,1000.0,0.5,2,1,97.20,84.04,95.68,83.82
15,fb100,0.001,1000,128,0.0,1e-06,1.0,1000.0,0.5,2,1,97.38,83.97,95.23,83.56
16,fb100,0.001,1000,128,0.1,0.0,1.0,1000.0,0.5,2,1,95.95,83.59,93.98,83.23
17,fb100,0.001,1000,128,0.1,1e-07,1.0,1000.0,0.5,2,1,97.16,83.96,95.90,83.73
18,fb100,0.001,1000,128,0.1,5e-07,1.0,1000.0,0.5,2,1,96.92,84.17,96.35,84.02
19,fb100,0.001,1000,128,0.1,1e-06,1.0,1000.0,0.5,2,1,96.68,83.92,95.70,83.38
20,fb100,0.001,1000,128,0.2,0.0,1.0,1000.0,0.5,2,1,96.56,83.79,95.78,83.47
21,fb100,0.001,1000,128,0.2,1e-07,1.0,1000.0,0.5,2,1,97.08,84.08,95.53,83.84
22,fb100,0.001,1000,128,0.2,5e-07,1.0,1000.0,0.5,2,1,95.91,83.74,95.10,83.74
23,fb100,0.001,1000,128,0.2,1e-06,1.0,1000.0,0.5,2,1,97.51,84.14,94.84,83.81
24,fb100,0.001,1000,128,0.0,0.0,1.0,1000.0,0.6,2,1,99.13,83.90,94.73,83.50
25,fb100,0.001,1000,128,0.0,1e-07,1.0,1000.0,0.6,2,1,99.19,83.83,94.03,83.58
26,fb100,0.001,1000,128,0.0,5e-07,1.0,1000.0,0.6,2,1,98.90,83.92,95.53,83.73
27,fb100,0.001,1000,128,0.0,1e-06,1.0,1000.0,0.6,2,1,98.76,83.79,94.90,83.47
28,fb100,0.001,1000,128,0.1,0.0,1.0,1000.0,0.6,2,1,99.18,83.35,93.59,82.96
29,fb100,0.001,1000,128,0.1,1e-07,1.0,1000.0,0.6,2,1,99.07,83.38,92.31,82.93
30,fb100,0.001,1000,128,0.1,5e-07,1.0,1000.0,0.6,2,1,99.07,83.25,93.58,82.90
31,fb100,0.001,1000,128,0.1,1e-06,1.0,1000.0,0.6,2,1,99.07,83.39,93.27,83.18
32,fb100,0.001,1000,128,0.2,0.0,1.0,1000.0,0.6,2,1,99.08,83.31,92.50,82.84
33,fb100,0.001,1000,128,0.2,1e-07,1.0,1000.0,0.6,2,1,99.09,83.07,91.69,82.80
34,fb100,0.001,1000,128,0.2,5e-07,1.0,1000.0,0.6,2,1,99.09,83.19,92.82,82.95
35,fb100,0.001,1000,128,0.2,1e-06,1.0,1000.0,0.6,2,1,99.12,82.99,91.55,82.71
36,fb100,0.001,1000,256,0.0,0.0,1.0,1000.0,0.4,2,1,97.00,83.61,93.90,83.23
37,fb100,0.001,1000,256,0.0,1e-07,1.0,1000.0,0.4,2,1,97.09,83.53,94.47,83.04
38,fb100,0.001,1000,256,0.0,5e-07,1.0,1000.0,0.4,2,1,97.08,83.37,93.57,82.93
39,fb100,0.001,1000,256,0.0,1e-06,1.0,1000.0,0.4,2,1,97.25,83.65,93.73,83.33
40,fb100,0.001,1000,256,0.1,0.0,1.0,1000.0,0.4,2,1,96.79,83.32,94.63,82.84
41,fb100,0.001,1000,256,0.1,1e-07,1.0,1000.0,0.4,2,1,96.35,83.57,94.58,83.25
42,fb100,0.001,1000,256,0.1,5e-07,1.0,1000.0,0.4,2,1,97.05,83.57,94.35,83.19
43,fb100,0.001,1000,256,0.1,1e-06,1.0,1000.0,0.4,2,1,96.58,83.39,95.03,82.89
44,fb100,0.001,1000,256,0.2,0.0,1.0,1000.0,0.4,2,1,95.20,83.37,93.37,82.70
45,fb100,0.001,1000,256,0.2,1e-07,1.0,1000.0,0.4,2,1,95.88,83.63,94.36,83.18
46,fb100,0.001,1000,256,0.2,5e-07,1.0,1000.0,0.4,2,1,95.66,83.34,94.80,83.14
47,fb100,0.001,1000,256,0.2,1e-06,1.0,1000.0,0.4,2,1,96.50,83.77,94.97,83.50
48,fb100,0.001,1000,256,0.0,0.0,1.0,1000.0,0.5,2,1,97.78,84.31,96.74,84.16
49,fb100,0.001,1000,256,0.0,1e-07,1.0,1000.0,0.5,2,1,97.88,83.91,95.88,83.53
50,fb100,0.001,1000,256,0.0,5e-07,1.0,1000.0,0.5,2,1,98.00,84.35,96.67,84.06
51,fb100,0.001,1000,256,0.0,1e-06,1.0,1000.0,0.5,2,1,97.91,84.15,96.70,83.93
52,fb100,0.001,1000,256,0.1,0.0,1.0,1000.0,0.5,2,1,98.59,84.17,96.19,83.97
53,fb100,0.001,1000,256,0.1,1e-07,1.0,1000.0,0.5,2,1,98.53,84.34,95.64,84.11
54,fb100,0.001,1000,256,0.1,5e-07,1.0,1000.0,0.5,2,1,98.33,84.30,96.59,84.12
55,fb100,0.001,1000,256,0.1,1e-06,1.0,1000.0,0.5,2,1,98.55,84.21,96.24,84.05
56,fb100,0.001,1000,256,0.2,0.0,1.0,1000.0,0.5,2,1,98.63,84.14,95.79,84.06
57,fb100,0.001,1000,256,0.2,1e-07,1.0,1000.0,0.5,2,1,98.63,84.19,96.35,83.95
58,fb100,0.001,1000,256,0.2,5e-07,1.0,1000.0,0.5,2,1,98.55,84.15,96.01,83.89
59,fb100,0.001,1000,256,0.2,1e-06,1.0,1000.0,0.5,2,1,98.46,84.17,95.39,83.96
60,fb100,0.001,1000,256,0.0,0.0,1.0,1000.0,0.6,2,1,99.67,83.47,94.11,83.20
61,fb100,0.001,1000,256,0.0,1e-07,1.0,1000.0,0.6,2,1,99.54,83.18,93.66,83.05
62,fb100,0.001,1000,256,0.0,5e-07,1.0,1000.0,0.6,2,1,99.58,83.33,94.29,83.10
63,fb100,0.001,1000,256,0.0,1e-06,1.0,1000.0,0.6,2,1,99.67,83.43,93.75,83.03
64,fb100,0.001,1000,256,0.1,0.0,1.0,1000.0,0.6,2,1,99.48,83.23,92.01,82.79
65,fb100,0.001,1000,256,0.1,1e-07,1.0,1000.0,0.6,2,1,99.40,82.93,90.77,82.44
66,fb100,0.001,1000,256,0.1,5e-07,1.0,1000.0,0.6,2,1,99.49,83.08,92.53,82.77
67,fb100,0.001,1000,256,0.1,1e-06,1.0,1000.0,0.6,2,1,99.52,83.00,90.76,82.63
68,fb100,0.001,1000,256,0.2,0.0,1.0,1000.0,0.6,2,1,99.33,82.72,92.05,82.43
69,fb100,0.001,1000,256,0.2,1e-07,1.0,1000.0,0.6,2,1,99.44,82.84,92.94,82.62
70,fb100,0.001,1000,256,0.2,5e-07,1.0,1000.0,0.6,2,1,99.43,83.05,91.05,82.70
71,fb100,0.001,1000,256,0.2,1e-06,1.0,1000.0,0.6,2,1,99.27,82.89,91.07,82.40
72,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,0.1,0.1,2,1,61.51,61.19,61.45,61.01
73,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,0.1,0.1,2,2,61.64,61.13,61.44,61.14
74,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,0.1,0.1,2,3,61.65,61.48,61.51,61.39
75,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,0.1,0.5,2,1,61.42,61.15,61.27,61.05
76,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,0.1,0.5,2,2,60.84,60.66,60.84,60.62
77,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,0.1,0.5,2,3,61.29,61.03,61.29,60.97
78,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,0.1,0.9,2,1,62.02,61.67,62.02,61.59
79,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,0.1,0.9,2,2,62.71,62.67,62.71,62.53
80,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,0.1,0.9,2,3,60.16,59.71,60.07,59.97
81,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,10.0,0.1,2,1,61.34,61.14,61.30,61.00
82,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,10.0,0.1,2,2,60.68,60.21,60.68,60.33
83,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,10.0,0.1,2,3,60.49,60.26,60.45,60.38
84,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,10.0,0.5,2,1,61.42,61.09,61.42,61.06
85,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,10.0,0.5,2,2,60.66,60.06,60.63,60.29
86,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,10.0,0.5,2,3,60.01,59.62,60.01,59.40
87,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,10.0,0.9,2,1,60.18,59.79,60.18,59.74
88,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,10.0,0.9,2,2,61.37,60.99,61.25,61.05
89,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,10.0,0.9,2,3,58.23,57.84,58.23,58.32
90,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,1000.0,0.1,2,1,62.37,62.22,62.22,62.25
91,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,1000.0,0.1,2,2,60.33,59.91,60.32,60.03
92,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,1000.0,0.1,2,3,57.85,57.44,57.81,57.47
93,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,1000.0,0.5,2,1,62.67,62.56,62.60,62.42
94,twitch-gamer,0.05,1000,256,0.5,0.001,1.0,1000.0,0.5,2,2,60.28,59.81,60.22,59.82
